"transcription","cost_threshold","train","validate","recall","precision"
"s_2-s_7-s_0-s_pt",2.8811338488142635,1,0,1.0,1.0
"l-e-t-t-e-r-s-s_cm",4.649960126941633,9,1,0.1111111111111111,1.0
"o-r-d-e-r-s",6.775076790767669,15,6,0.3333333333333333,0.8333333333333334
"a-n-d",2.469087954359311,63,34,0.031746031746031744,1.0
"i-n-s-t-r-u-c-t-i-o-n-s-s_pt",16.174918054782445,11,4,0.6363636363636364,1.0
"o-c-t-o-b-e-r",6.595834705283028,15,0,0.13333333333333333,0.6666666666666666
"s_1-s_7-s_5-s_5-s_pt",3.641675428745574,12,7,0.16666666666666666,1.0
"o-n-l-y",1.4881509891994815,4,0,0.25,1.0
"f-o-r",1.4178587592068455,37,17,0.08108108108108109,0.75
"t-h-e",1.5066776684497405,129,61,0.3178294573643411,0.640625
"p-u-b-l-i-c-k",4.0886548287235085,1,0,1.0,1.0
"u-s-e-s_cm",1,1,0,1.0,0.5
"u-n-l-e-s_s-s",4.580657529957795,3,0,0.3333333333333333,1.0
"b-y",1.5826370030088184,13,3,0.15384615384615385,1.0
"p-a-r-t-i-c-u-s_mi",3.519781378225109,1,0,1.0,1.0
"l-a-r",1.8616249699649638,1,0,1.0,1.0
"f-r-o-m",3.3143183253495323,16,5,0.125,0.6666666666666666
"m-e-s_pt",2.112284845922824,3,0,0.3333333333333333,1.0
"y-o-u",1.8116528399356644,70,8,0.05714285714285714,0.6666666666666666
"a-r-e",1.2999417739263643,57,11,0.12280701754385964,0.6363636363636364
"t-o",1.4597834581275004,139,51,0.007194244604316547,1.0
"s-e-n-d",7.538773415413752,3,2,0.3333333333333333,1.0
"d-o-w-n",4.1493495416938995,3,1,0.3333333333333333,1.0
"a",1.0569847124389928,15,11,0.06666666666666667,1.0
"b-a-r-r-e-l",8.543702315979463,1,0,1.0,1.0
"o-f",1.8800523331590948,64,31,0.6875,0.8
"f-l-i-n-t-s",6.509302685097344,1,0,1.0,1.0
"w-i-t-h",4.248440228660467,26,17,0.15384615384615385,0.8
"a-r-m-s-s_cm",4.307798081923962,2,2,0.5,1.0
"w-i-n-c-h-e-s-t-e-r-s_cm",10.245663161157136,3,0,0.3333333333333333,1.0
"a-b-o-u-t",5.915303107667388,3,1,0.3333333333333333,1.0
"t-w-o",3.0188173944302132,3,1,0.3333333333333333,1.0
"t-h-o-u-s-a-n-d",10.3702491400854,1,2,1.0,1.0
"w-e-i-g-h-t",1.9368251901344746,1,0,1.0,1.0
"f-l-o-u-r-s_cm",3.9177225222363674,1,0,1.0,1.0
"c-o-m-p-a-n-i-e-s",9.223527933140737,2,0,0.5,1.0
"r-a-n-g-e-r-s-s_sq",5.454216488553747,1,0,1.0,1.0
"t-w-e-l-v-e",6.984207451944977,2,1,0.5,1.0
"h-u-n-d-r-e-d",11.403565127219569,1,2,1.0,1.0
"w-h-i-c-h",6.30696256050232,19,6,0.2631578947368421,0.8333333333333334
"b-e",1.3216640328905376,29,24,0.034482758620689655,1.0
"d-e-l-i-v-e-r-e-d",8.795751487846704,4,0,0.25,1.0
"c-a-p-t-a-i-n",6.917554496453782,18,5,0.1111111111111111,0.6666666666666666
"a-s-h-b-y",4.5791665862799205,1,0,1.0,1.0
"c-o-m-p-a-n-y-s_cm",8.74731060875644,8,1,0.25,0.6666666666666666
"a-t",1.2992515036053756,25,10,0.08,1.0
"p-l-a-n-t-a-t-i-o-n",12.895337389457238,1,0,1.0,1.0
"c-h-a-r-l-e-s",6.673520229571568,1,0,1.0,1.0
"s-e-l-l-a-r-s",5.036434406679747,1,0,1.0,1.0
"s_mi",2.0652212242160535,34,6,0.4117647058823529,0.6666666666666666
"r-e-s-t",1,1,0,1.0,1.0
"c-o-c-k-e-s-s_qt",1.6167153747147407,1,0,1.0,1.0
"n-i-c-h-o-l-a-s",14.303305462577502,1,0,1.0,1.0
"r-e-a-s-m-e-r-s-s_pt",8.182211254576687,1,0,1.0,1.0
"s_2-s_6th-s_pt",1.453556602772943,2,0,0.5,1.0
"s_gw",3.076850150927565,8,2,0.25,0.6666666666666666
"s_2-s_8th",1,1,0,1.0,1.0
"w-i-n-c-h-e-s-t-e-r-s_qo",11.057616780762036,1,0,1.0,1.0
"s_2-s_8th-s_cm",1,1,0,1.0,1.0
"p-a-r-o-l-e",6.1869318868287575,2,0,0.5,1.0
"h-a-m-p-t-o-n-s_pt",9.768231308737189,1,0,1.0,1.0
"o-f-f-i-c-e-r-s",4.875708335680495,2,3,0.5,1.0
"w-h-o",1.3164519252817963,5,1,0.2,1.0
"c-a-m-e",2.2436236517293175,1,2,1.0,1.0
"f-o-r-t",2.625490864646794,15,2,0.06666666666666667,1.0
"c-u-m-b-e-r-l-a-n-d",18.522121356556575,3,1,0.3333333333333333,1.0
"c-o-l-o-n-e-l",10.465123913406783,4,2,0.25,1.0
"w-a-s-h-i-n-g-t-o-n-s_cm",8.304639054706904,1,0,1.0,1.0
"i-m-m-e-d-i-a-t-e-l-y",14.571976034814782,5,0,0.4,0.6666666666666666
"g-o",1.5978638835111059,4,2,0.25,1.0
"r-e-c-r-u-i-s_mi",7.737068339653407,2,0,0.5,1.0
"t-i-n-g-s_sq",1.0258676274914862,1,0,1.0,1.0
"t-h-e-y",1.6909362505360606,22,3,0.22727272727272727,0.5555555555555556
"a-l-l-o-w-e-d",9.987987694658486,3,0,0.6666666666666666,0.6666666666666666
"u-n-t-i-l",4.050738832482209,5,3,0.2,1.0
"s_1st-s_pt",1.5538126548903655,9,0,0.2222222222222222,1.0
"d-e-s_mi",1.9405068355921737,2,2,0.5,1.0
"c-e-m-b-e-r-s_sq",3.118541979626478,1,0,1.0,1.0
"t-i-m-e",3.2394050913520624,4,1,0.25,1.0
"i-f",1.554507708745606,11,10,0.18181818181818182,1.0
"d-o",1.0715700716821657,5,0,0.2,1.0
"n-o-t",2.7396525194739176,5,11,0.2,1.0
"p-u-n-c-t-u-a-l-l-y",11.23218076110348,1,0,1.0,1.0
"a-p-p-e-a-r",5.194334230261397,1,0,1.0,1.0
"p-l-a-c-e",3.678474546028266,4,1,0.25,1.0
"r-e-n-d-e-z-s_mi",6.447728269296764,1,0,1.0,1.0
"v-o-u-s",2.2436236517293175,1,0,1.0,1.0
"a-s_s-s-i-g-n-e-d",6.498656396179147,1,0,1.0,1.0
"t-h-e-m-s_cm",5.373154905651853,2,1,0.5,1.0
"w-i-l-l",3.0405323640709465,17,7,0.11764705882352941,1.0
"t-r-i-e-d",2.2739475571867636,1,0,1.0,1.0
"c-o-u-r-t",4.314634441485868,2,0,0.5,1.0
"m-a-r-t-i-a-l-s_cm",10.063272410157726,1,0,1.0,1.0
"d-i-s-o-b-e-d-i-e-n-c-e",16.954409827523673,1,0,1.0,1.0
"o-r-d-e-r-s-s_pt",3.4004175669198906,1,0,1.0,1.0
"w-a-i-t",2.5595062785897524,1,2,1.0,1.0
"u-p-o-n",3.8672507704441577,4,1,0.5,1.0
"a-i-d",3.075761616581846,3,1,0.3333333333333333,1.0
"d-e",1.096593837447112,3,1,0.3333333333333333,1.0
"c-a-m-p",2.333034679666903,1,0,1.0,1.0
"o-n-e",1.0058507102947405,10,0,0.2,0.6666666666666666
"c-l-o-c-k-s_cm",5.303470461668396,1,0,1.0,1.0
"r-e-c-e-i-v-e",5.706378418637403,5,2,0.2,1.0
"t-h-e-i-r",2.818322027218705,4,2,0.25,1.0
"t-i-n-g",1,1,0,1.0,1.0
"e-a-c-h",2.840380022889004,4,1,0.25,1.0
"o-f-f-i-c-e-r",3.3563744054972964,5,0,0.2,1.0
"p-r-e-s-e-n-t-s_cm",6.865875156526969,1,0,1.0,1.0
"g-i-v-e",3.8561601773457275,3,1,0.3333333333333333,1.0
"i-n",1.39498167919924,19,17,0.10526315789473684,1.0
"r-e-t-u-r-n",9.150784467802639,3,1,0.3333333333333333,1.0
"n-u-m-b-e-r",6.756829200523668,1,0,1.0,1.0
"m-e-n",3.1540921548126106,14,3,0.14285714285714285,0.6666666666666666
"h-e",1.2939677586268648,13,3,0.07692307692307693,1.0
"h-a-s",1.575752610882546,7,2,0.14285714285714285,1.0
"e-n-l-i-s-t-e-d-s_pt",8.445554069554378,1,0,1.0,1.0
"s-u-b-a-l-t-e-r-n-s_cm",12.52262407869237,2,0,0.5,1.0
"s-e-r-g-e-a-n-t-s_cm",6.574998615006716,2,0,0.5,1.0
"c-o-r-p-o-r-a-l-s_cm",11.215791175222531,2,0,0.5,1.0
"d-r-u-m-m-e-r-s_cm",11.142514039029631,2,0,0.5,1.0
"t-w-e-n-t-y",3.1510435599874302,5,1,0.2,1.0
"f-i-v-e",3.3578178755421115,2,0,0.5,1.0
"p-r-i-v-a-t-e",5.621414551865827,3,0,0.3333333333333333,1.0
"m-e-n-s_cm",3.538797478570425,4,0,0.25,1.0
"m-o-u-n-t",5.84390166806026,1,0,1.0,1.0
"g-u-a-r-d",9.713396008776838,2,0,0.5,1.0
"d-a-y-s_cm",2.4165491438945472,1,0,1.0,1.0
"r-e-l-i-e-v-e-d",11.685971919532195,1,0,1.0,1.0
"m-o-r-r-o-w",5.856873734441666,1,0,1.0,1.0
"t-e-n",1.546639440496112,4,3,0.25,1.0
"o-s_qt-c-l-o-c-k-s_pt",7.230769900094677,1,0,1.0,1.0
"s_mi-s_pt",2.6777764735484118,1,0,1.0,1.0
"a-l-l",1.096593837447112,7,5,0.14285714285714285,1.0
"r-e-p-o-r-t-s",6.459098923398148,1,0,1.0,1.0
"r-e-t-u-r-n-s",7.330125215217423,2,0,0.5,1.0
"m-a-d-e",7.325256474973157,5,2,0.4,1.0
"c-a-m-p-s_pt",3.9443741361313056,2,0,0.5,1.0
"s_2-s_7-s_1-s_pt",1,1,0,1.0,1.0
"s_2-s_8th-s_pt",1.4836494334043406,4,0,0.75,0.75
"e-n-s-i-g-n",5.345648949043949,6,0,0.6666666666666666,1.0
"f-l-e-m-i-n-g-s_cm",6.3684804595544815,2,0,0.5,1.0
"v-i-r-g-i-n-i-a",7.101752153925411,8,1,0.375,1.0
"r-e-g-i-m-e-n-t-s_pt",9.67146915653166,7,0,0.14285714285714285,1.0
"h-e-r-e-b-y",3.5508001712905495,7,0,0.14285714285714285,1.0
"o-r-d-e-r-e-d",5.7191072675324115,10,1,0.1,1.0
"r-e-p-a-i-r",4.306326929206415,2,0,0.5,1.0
"h-o-g-g-s_qt-s",2.2706653232336422,1,1,1.0,1.0
"c-o-m-p-a-n-y",8.122366306710596,7,0,0.2857142857142857,1.0
"d-i-n-w-i-d-d-i-e",8.60872657162032,1,0,1.0,1.0
"e-i-g-h-t",3.4415165383337847,7,0,0.14285714285714285,1.0
"g-o-o-d",3.568954016875204,3,2,0.3333333333333333,1.0
"m-e-n-s_qo",4.56810028993725,1,0,1.0,1.0
"a-s",1.020842043557495,31,8,0.06451612903225806,1.0
"t-h-a-t",2.7255757026427996,25,26,0.04,1.0
"i-s",1.39240098031372,21,14,0.19047619047619047,0.5714285714285714
"w-i-t-h-o-u-t",7.44313095730878,1,1,1.0,1.0
"s-u-r-g-e-o-n-s_cm",7.471690898898529,2,0,0.5,1.0
"d-u-t-y-s_cm",2.4025889025684295,1,0,1.0,1.0
"a-n",1.187521063534947,4,2,0.25,1.0
"a-l-l-o-w-a-n-c-e",11.789580440992571,1,0,1.0,1.0
"i-t-s_pt",1.5968514479571005,2,0,0.5,1.0
"p-r-o-v-i-d-e",6.193805400618563,4,0,0.25,1.0
"m-e-d-i-c-i-n-e-s-s_cm",9.377268943046372,1,0,1.0,1.0
"s_et-c-s_pt",1.9372344705564832,13,5,0.6923076923076923,0.9
"b-e-s-t",2.7507543985509906,4,0,0.25,1.0
"t-e-r-m-s",3.809257037072554,2,0,0.5,1.0
"c-a-n-s_pt",1.481851912031245,1,0,1.0,1.0
"t-h-i-s",1.3617935872753206,9,11,0.1111111111111111,1.0
"o-r-d-e-r",4.526229287541662,4,1,0.5,1.0
"i",1.6307618611471972,16,33,0.1875,0.6
"e-x-p-e-c-t",4.702572185911349,2,1,0.5,1.0
"i-m-m-e-d-i-s_mi",11.060093339922258,2,0,0.5,1.0
"a-t-e-l-y",3.57499123205918,2,0,0.5,1.0
"c-o-m-p-l-i-e-d",7.608123039699446,3,0,0.3333333333333333,1.0
"w-i-t-h-s_sq",3.7499770261471594,1,0,1.0,1.0
"n-o",1.0232677871671962,6,2,0.16666666666666666,1.0
"d-e-l-a-y-s",3.8540087309346696,1,0,1.0,1.0
"o-f-s_mi",1,1,0,1.0,1.0
"f-e-r-e-d-s_pt",4.549445297358328,1,0,1.0,1.0
"a-c-c-o-u-n-t",8.701469325560351,3,0,0.6666666666666666,1.0
"b-e-l-l",4.670646907238812,2,0,0.5,1.0
"y-o-u-r",1.606145834485395,20,12,0.05,1.0
"r-e-c-r-u-i-t-i-n-g",10.593240201711254,2,1,0.5,1.0
"m-o-n-e-y-s_cm",4.462619603742014,1,1,1.0,1.0
"b-e-f-o-r-e",5.229234427365419,3,1,0.3333333333333333,1.0
"l-e-a-v-e",3.2086674602776997,1,2,1.0,1.0
"h-i-m-s_pt",4.8349430118706955,3,0,0.3333333333333333,1.0
"s-h-o-u-l-d",8.011305613140623,4,5,0.5,1.0
"a-r-r-i-v-e",6.407197331519481,6,0,0.6666666666666666,1.0
"a-u-g-u-s-t-a",6.183933544838327,1,0,1.0,1.0
"h-o-u-s-e",3.6372085707642414,1,0,1.0,1.0
"s-e-r-g-e-a-n-t",7.6198826493015055,7,0,0.42857142857142855,0.75
"w-i-l-p-e-r",5.575953319268552,3,0,0.3333333333333333,1.0
"h-i-s",1.3580417803292473,11,1,0.09090909090909091,1.0
"p-a-r-t-y-s_cm",2.4705926605977226,1,0,1.0,1.0
"h-a-l-t",5.100169106009713,2,0,0.5,1.0
"t-h-e-r-e",2.9848175815083513,7,7,0.14285714285714285,1.0
"j-o-i-n-s-s_cm",1.9184969024153933,1,0,1.0,1.0
"e-s-c-o-r-t",4.327536338797753,1,0,1.0,1.0
"a-m-m-u-n-i-t-i-o-n-s_cm",18.69295951008011,1,0,1.0,1.0
"f-o-r-t-s_sq",1.9886529457206308,1,0,1.0,1.0
"w-h-e-r-e",4.161095776666321,2,1,0.5,1.0
"c-l-o-t-h-e-s",9.241375379626895,2,0,0.5,1.0
"a-r-m-s",2.522737258640292,5,0,0.2,1.0
"m-e-n-s_pt",5.196356887503679,1,0,1.0,1.0
"h-a-v-e",4.143636488520259,11,7,0.09090909090909091,1.0
"f-l-e-m-i-n-g",5.538820648743232,1,0,1.0,1.0
"h-o-g-g-s",2.7809488482695137,4,0,0.25,1.0
"m-e-n-s_sq",2.7489078526468265,1,1,1.0,1.0
"s-e-e",1.578180578516969,18,0,0.05555555555555555,1.0
"w-i-t-h-s_pt",4.091469156391931,2,0,0.5,1.0
"m-o-n-e-y",5.582856379989978,5,3,0.2,1.0
"l-e-a-v-e-s",5.385120018602181,1,0,1.0,1.0
"y-o-u-s_pt",2.8620809890638843,2,0,0.5,1.0
"o-r-d-e-r-e-d-s_cm",7.079397512613195,3,0,0.3333333333333333,1.0
"p-e-r-e-m-p-t-o-r-i-l-y-s_cm",13.608794684717,1,0,1.0,1.0
"w-h-a-t",2.967701612159915,3,4,0.3333333333333333,1.0
"h-a-v-e-s_cm",1.6254908646467938,1,1,1.0,1.0
"o-r",1.076529508535946,11,4,0.09090909090909091,1.0
"c-a-n",2.2685940405449427,7,8,0.14285714285714285,1.0
"e-n-s_mi",1.477282662839301,1,1,1.0,1.0
"l-i-s-t",1,1,0,1.0,1.0
"d-e-c-e-m-b-e-r-s_pt",12.064369684079127,2,1,0.5,1.0
"l-a-t-e",2.0701044784387723,1,1,1.0,1.0
"d-i-s-o-b-e-d-i-s_mi",5.2326656917590775,1,0,1.0,1.0
"e-n-c-e",1.7267084704274147,1,0,1.0,1.0
"g-r-e-a-t-l-y",4.363273364274165,1,1,1.0,1.0
"d-i-s-p-l-e-a-s-e-d",11.288536902082512,1,0,1.0,1.0
"i-t",1.425783388369403,8,9,0.125,1.0
"i-m-p-o-s_s-s-i-b-l-e",8.561714810360625,1,0,1.0,1.0
"c-a-r-r-y",3.772542200663411,2,0,0.5,1.0
"o-n",0.8860218496826923,10,4,0.2,0.6666666666666666
"a-f-f-a-i-r-s",2.3723331571137285,1,0,1.0,1.0
"o-u-g-h-t",5.161223070321258,2,0,0.5,1.0
"b-e-s_cm",1,1,0,1.0,1.0
"w-h-e-n",5.4801830388432915,3,7,0.3333333333333333,1.0
"p-a-y",1.6516850450765717,7,0,0.14285714285714285,1.0
"s-o",1.1168546224581948,6,4,0.16666666666666666,1.0
"l-i-t-t-l-e",4.235782737504624,1,1,1.0,1.0
"r-e-g-a-r-d",5.87848854023768,1,0,1.0,1.0
"f-o-r-c-e",3.214634688001553,1,0,1.0,1.0
"m-i-l-i-t-a-r-y",6.46517692520417,1,1,1.0,1.0
"m-u-s-t",3.1540921548126106,15,1,0.06666666666666667,1.0
"c-o-n-s-c-i-o-u-s",10.123268832894139,1,0,1.0,1.0
"w-i-t-h-i-n",3.2549434754949944,1,0,1.0,1.0
"y-o-u-r-s-e-l-f",7.822569166781664,2,0,0.5,1.0
"s_bl-o-r",1,1,0,1.0,1.0
"l-e-a-s-t",2.2063373578654906,1,0,1.0,1.0
"b-e-s_br",1,1,0,1.0,1.0
"c-r-i-m-e",3.580152144816613,1,0,1.0,1.0
"s-u-f-f-i-c-i-e-n-t",6.282873442776639,1,0,1.0,1.0
"b-r-e-a-k",7.789301940627142,1,0,1.0,1.0
"e-v-e-r",3.357067688602233,1,0,1.0,1.0
"b-o-r-e",1.866316217400318,1,0,1.0,1.0
"c-o-m-m-i-s_s-s-i-o-n-s_pt",16.526939531419917,1,0,1.0,1.0
"s_2-s_7-s_2-s_pt",4.671079600114225,1,0,1.0,1.0
"p-e-t-e-r",2.194371836728285,1,0,1.0,1.0
"h-o-g-g-s_cm",2.4052039183262015,1,0,1.0,1.0
"s-i-r-s_cm",1.3534238673736159,2,0,0.5,1.0
"r-e-c-e-i-v-e-d",6.842922111732975,3,0,0.3333333333333333,1.0
"y-o-u-r-s",2.1959846609001716,1,0,1.0,1.0
"s_6th-s_pt",1,1,0,1.0,1.0
"o-c-t-o-s_mi",2.955620058264108,1,0,1.0,1.0
"b-e-r-s_cm",1,1,0,1.0,1.0
"i-n-c-l-o-s-i-n-g",5.614870755734854,1,0,1.0,1.0
"d-a-y-s_pt",2.3802660978321164,1,0,1.0,1.0
"f-e-r-g-u-s-o-n",10.119769201573657,1,0,1.0,1.0
"w-a-s",1.2786664155514207,3,7,0.3333333333333333,1.0
"s-e-n-t",2.597508059735496,5,4,0.2,1.0
"a-f-t-e-r",3.2964575805422687,2,1,0.5,1.0
"y-o-u-s_cm",1,1,0,1.0,1.0
"b-u-t",3.1200197812037915,2,5,0.5,1.0
"f-a-l-l-i-n-g",5.204781975136489,1,0,1.0,1.0
"i-l-l-s_cm",1,1,0,1.0,1.0
"s-o-r-e",1.7164970773434898,1,0,1.0,1.0
"a-r-m-s_cm",1.4265297616540291,1,0,1.0,1.0
"h-e-r-e-s_cm",2.970979561422255,4,0,0.25,1.0
"n-o-w",2.363925843464164,6,2,0.16666666666666666,1.0
"r-e-m-a-i-n-s",10.052441061433166,2,0,0.5,1.0
"u-n-f-i-t",3.048715033864087,1,0,1.0,1.0
"d-u-t-y-s_qo",2.0331398839486763,1,0,1.0,1.0
"t-h-e-r-e-f-o-r-e",6.675181622881109,1,0,1.0,1.0
"r-o-o-m-s_pt",7.7042205254088945,1,0,1.0,1.0
"c-l-o-t-h-i-n-g",9.786731122444344,3,0,0.3333333333333333,1.0
"c-o-m-p-l-e-t-e",6.707405976211944,3,0,0.3333333333333333,1.0
"c-o-m-p-a-s_mi",5.306427809773893,1,0,1.0,1.0
"n-y",1,1,0,1.0,1.0
"e-s-t-a-b-l-i-s-h-m-e-n-t-s_pt",19.389947353233325,1,0,1.0,1.0
"e-n-l-i-s-t-e-d",3.161095776666321,1,0,1.0,1.0
"t-h-r-e-e",3.727622591380781,1,0,1.0,1.0
"m-a-r-c-h-s_cm",8.007379515092204,1,0,1.0,1.0
"o-r-s_mi",1,1,1,1.0,0.5
"d-e-r-e-d",1.8918656244294811,1,0,1.0,1.0
"o-t-h-e-r-s-s_cm",2.9633376112119802,3,0,0.3333333333333333,1.0
"j-o-i-n",3.650359586269154,3,0,0.3333333333333333,1.0
"y-o-u-s_sq",2.4157384512691964,1,0,1.0,1.0
"b-e-i-n-g",3.3764228356017707,3,3,0.3333333333333333,1.0
"d-e-s-i-r-e-d",8.004524050476938,3,0,0.3333333333333333,1.0
"t-a-k-e",3.4602379786070765,4,0,0.25,1.0
"c-a-r-e",3.075710845998855,1,0,1.0,1.0
"c-o-m-p-a-n-y-s_sq",9.83868093499885,2,0,0.5,1.0
"a-l-l-o-w-e-d-s_pt",5.192681455312424,1,0,1.0,1.0
"u-s-e",1.2188879495849354,4,0,0.25,1.0
"e-n-d-e-a-v-o-u-r-s",10.872473559462827,1,0,1.0,1.0
"s-e-c-u-r-e",4.474452285351351,1,0,1.0,1.0
"p-r-o-v-i-s-i-o-n-s-s_cm",11.672743772886996,2,0,0.5,1.0
"m-o-s-t",8.043226440940662,3,0,0.3333333333333333,1.0
"n-e-e-d-f-u-l",6.758147445335568,1,0,1.0,1.0
"s_qo-s_mi",1,1,0,1.0,1.0
"i-m-p-o-s_s-s-i-s_mi",3.9494497715669628,1,0,1.0,1.0
"b-l-e",1,1,0,1.0,1.0
"d-i-r-e-c-t",4.243359674318096,1,1,1.0,1.0
"d-i-s-t-a-n-c-e-s_cm",5.707925086735621,1,0,1.0,1.0
"p-r-o-p-e-r-l-y-s_pt",7.705902512146382,1,0,1.0,1.0
"w-e",1.0951989107300821,2,9,0.5,1.0
"c-o-n-t-r-a-c-t-e-d",9.459024830079967,1,1,1.0,1.0
"l-a-r-g-e",2.4653583331760522,1,0,1.0,1.0
"q-u-a-n-t-i-t-y",7.942578568133666,3,0,0.6666666666666666,1.0
"b-e-e-f",4.274738457140754,1,0,1.0,1.0
"a-l-r-e-a-d-y-s_cm",7.027956782036817,1,0,1.0,1.0
"e-n-g-a-g-e",4.757283872419915,3,1,0.3333333333333333,1.0
"m-o-r-e",6.147709866015644,2,3,0.5,1.0
"t-h-a-n",3.759881291006951,3,3,0.3333333333333333,1.0
"s-u-f-f-i-c-e",8.398229185403437,1,0,1.0,1.0
"o-w-n",2.550103117645627,1,1,1.0,1.0
"c-o-m-p-a-n-y-s_pt",9.142798886940117,2,0,0.5,1.0
"s-h-a-l-l",4.454562743827302,3,5,0.3333333333333333,1.0
"l-o-d-g-e-d",6.3841086938818465,1,0,1.0,1.0
"m-r-s_pt",3.374166362797628,4,1,0.25,1.0
"d-i-c-k",4.503584251933526,2,0,0.5,1.0
